Division,Selector,Optimal,Optimal STD,Par-2,Par-2 STD
Arith,FFSS,0.413502109704641,0,19791.63676,0
Arith,MachSMT,0.418143459915612,0.0223628691983122,22321.65320243,5306.74319568192
Arith,MedleySovler,0.0793,0.1032,155697.1786,118473.8004
Arith,OFSS,0.413502109704641,0,19791.63676,0
Arith,Sibyl,0.50337552742616,0.0612337910707887,28043.123288,6652.71568538312
Arith,VBS,1,0,1886.3128126,0
Bitvec,FFSS,0.698795180722892,0,19713.3308673,0
Bitvec,MachSMT,0.627710843373494,0.135904468936902,11956.30438421,6178.73449322686
Bitvec,MedleySovler,0.3157,0.2509,45103.9838,24323.5916
Bitvec,OFSS,0.698795180722892,0,19713.3308673,0
Bitvec,Sibyl,0.631325301204819,0.0176249865522022,51193.05889916,2571.90817249974
Bitvec,VBS,1,0,110.3011264,0
Equality,FFSS,0.313167259786477,0,64871.5884187,0
Equality,MachSMT,0.439501779359431,0.0191808013924724,43155.96552077,7359.82861440461
Equality,MedleySovler,0.1335,0.1042,249169.3549,249169.3549
Equality,OFSS,0.313167259786477,0,64871.5884187,0
Equality,Sibyl,0.287188612099644,0.0194951543413556,128905.478881582,10309.6809248866
Equality,VBS,1,0,2182.09966613,0
Equality+LinearArith,FFSS,0.64689378757515,0,69943.8540443001,0
Equality+LinearArith,MachSMT,0.764969939879759,0.014834208260772,51852.53562677,5488.56994462631
Equality+LinearArith,MedleySovler,0.1475,0.0066,777262.5435,30229.2398
Equality+LinearArith,OFSS,0.64689378757515,0,69943.8540443001,0
Equality+LinearArith,Sibyl,0.837915831663327,0.00566308696150061,56477.00336296,5796.07989742865
Equality+LinearArith,VBS,1,0,1736.3210183,0
Equality+MachineArith,FFSS,0.514563106796116,0,10639.9469513,0
Equality+MachineArith,MachSMT,0.606796116504854,0.0384078455239854,1486.35182923,1163.28201184292
Equality+MachineArith,MedleySovler,0.4466,0.1253,32487.9952,62814.0276
Equality+MachineArith,OFSS,0.514563106796116,0,10639.9469513,0
Equality+MachineArith,Sibyl,0.603883495145631,0.0058252427184466,5094.32028201,1524.72196278851
Equality+MachineArith,VBS,1,0,119.1087494,0
Equality+NonLinearArith,FFSS,0.359872611464968,0,149092.647998,0
Equality+NonLinearArith,MachSMT,0.584394904458599,0.0555136741987371,47151.34560572,7472.6100319875
Equality+NonLinearArith,MedleySovler,0.3844,0.1431,100676.9432,36354.1061
Equality+NonLinearArith,OFSS,0.503184713375796,0,279693.8359608,0
Equality+NonLinearArith,Sibyl,nan,nan,nan,nan
Equality+NonLinearArith,VBS,1,0,2986.8457576,0
QF_Bitvec,FFSS,0.599309153713299,0,71498.24342438,0
QF_Bitvec,MachSMT,0.493321819228555,0.101169757984801,58746.150854051,6259.04358124056
QF_Bitvec,MedleySovler,0.1417,0.1674,234831.0237,178681.0801
QF_Bitvec,OFSS,0.599309153713299,0,71498.24342438,0
QF_Bitvec,Sibyl,0.725446171560161,0.00928814364347906,77903.4650512,4260.38786219039
QF_Bitvec,VBS,1,0,16734.36593441,0
QF_Equality,FFSS,0.0575275397796818,0,42684.1086203,0
QF_Equality,MachSMT,0.358017135862913,0.140051706659562,35327.098145742,3378.69216598765
QF_Equality,MedleySovler,0.1614,0.2909,126452.1414,43977.9779
QF_Equality,OFSS,0.741738066095471,0,146482.35998112,0
QF_Equality,Sibyl,0.437576499388005,0.0770885513400252,42357.323650331,35.1654546423573
QF_Equality,VBS,1,0,23705.45144252,0
QF_Equality+Bitvec,FFSS,0.37245696400626,0,12363.30135416,0
QF_Equality+Bitvec,MachSMT,0.516118935837246,0.116767987247782,8367.677826889,2592.71170674352
QF_Equality+Bitvec,MedleySovler,0.3225,0.1682,16240.2545,19133.3242
QF_Equality+Bitvec,OFSS,0.593114241001565,0,36325.04029696,0
QF_Equality+Bitvec,Sibyl,0.596400625978091,0.0154041812422257,19292.136190447,5194.28049609114
QF_Equality+Bitvec,VBS,1,0,3219.88392942,0
QF_Equality+LinearArith,FFSS,0,0,28171.82023,0
QF_Equality+LinearArith,MachSMT,0.642966751918159,0.0990546032133275,12094.544781062,3212.94464881296
QF_Equality+LinearArith,MedleySovler,0.2179,0.2507,20128.848,3928.975
QF_Equality+LinearArith,OFSS,0.654731457800512,0,115221.27941902,0
QF_Equality+LinearArith,Sibyl,0.461381074168798,0.0279276392730817,23717.858986936,5580.34805121418
QF_Equality+LinearArith,VBS,1,0,1573.33726492,0
QF_LinearIntArith,FFSS,0.735919899874844,0,226865.52274826,0
QF_LinearIntArith,MachSMT,0.603003754693367,0.0350831175878788,46627.181585353,8812.44942310438
QF_LinearIntArith,MedleySovler,0.6691,0.0454,225810.6019,5650.1778
QF_LinearIntArith,OFSS,0.735919899874844,0,226865.52274826,0
QF_LinearIntArith,Sibyl,0.633917396745932,0.0212120791698101,57049.563594584,2387.87332936022
QF_LinearIntArith,VBS,1,0,11242.91603694,0
QF_LinearRealArith,FFSS,0.692307692307692,0,12281.4432172,0
QF_LinearRealArith,MachSMT,0.574825174825175,0.0816596395915804,6622.93810578,1921.85050998477
QF_LinearRealArith,MedleySovler,0.2853,0.2125,16987.1286,8088.2734
QF_LinearRealArith,OFSS,0.692307692307692,0,12281.4432172,0
QF_LinearRealArith,Sibyl,0.474825174825175,0.0628165123644612,6310.38016108,2024.12308440645
QF_LinearRealArith,VBS,1,0,2358.1178574,0
QF_NonLinearIntArith,FFSS,0.151103565365025,0,485019.9683041,0
QF_NonLinearIntArith,MachSMT,0.501245048104131,0.027218925758974,555894.50574751,50936.9402227743
QF_NonLinearIntArith,MedleySovler,0.2035,0.1603,510026.4859,251456.9143
QF_NonLinearIntArith,OFSS,0.520656479909451,0,778165.976264699,0
QF_NonLinearIntArith,Sibyl,0.44199207696661,0.0150243744253946,431099.65041477,29646.3055979436
QF_NonLinearIntArith,VBS,1,0,32807.7572027,0
QF_NonLinearRealArith,FFSS,0.0576036866359447,0,39580.6218439,0
QF_NonLinearRealArith,MachSMT,0.245161290322581,0.0591784739888056,25731.787322535,4902.66384055535
QF_NonLinearRealArith,MedleySovler,0.1518,0.1293,89094.0645,45022.9129
QF_NonLinearRealArith,OFSS,0.523041474654378,0,79530.8567142,0
QF_NonLinearRealArith,Sibyl,0.450691244239631,0.0158031596308592,32648.60614207,5363.48123607859
QF_NonLinearRealArith,VBS,1,0,2010.56649835,0
